%x,%y,%file,refdes,%symbol,value,auth,date,device,documentation,footprint,model,net,netname,numslots,pagenum,pageof,revision,slot,slotdef,title,version,symversion,pn-digikey
40900,43900,outsmarts_left.sch,J402,connector3-1.sym,,,,CONNECTOR_3,,CON_HDR_254P-3N__Molex-KK,,,,,,,,,,,,,
41100,47400,outsmarts_left.sch,J403,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
40400,46600,usb-codec.sch,J501,usb-b-1.sym,,,,USB_B_CONNECTOR_4,,CON_USB_TYPEB__Keystone_924,,,,,,,,,,,,,
40400,42400,usb-codec.sch,J502,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
40400,41100,usb-codec.sch,J503,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
56600,44500,usb-codec.sch,J504,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
56600,43400,usb-codec.sch,J505,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
40400,48800,usb-codec.sch,J506,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
40800,49600,headphone.sch,J601,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
40800,45800,headphone.sch,J602,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
40600,42400,headphone.sch,J603,connector3-1.sym,,,,CONNECTOR_3,,CON_HDR_254P-3N__Molex-KK,,,,,,,,,,,,,
55700,46100,headphone.sch,J604,trs-jack-1.sym,,,,CONNECTOR_6,,CON_TRS-NRJ6HF__Neutrik-SlimLine-TRS.fp,,,,,,,,,,,,,
50000,48800,power.sch,J901,connector3-1.sym,,,,CONNECTOR_3,,CON_HDR_254P-3N__Molex-KK,,,,,,,,,,,,,
51100,48800,power.sch,J902,connector3-1.sym,,,,CONNECTOR_3,,CON_HDR_254P-3N__Molex-KK,,,,,,,,,,,,,
52200,48800,power.sch,J903,connector3-1.sym,,,,CONNECTOR_3,,CON_HDR_254P-3N__Molex-KK,,,,,,,,,,,,,
53300,48800,power.sch,J904,connector3-1.sym,,,,CONNECTOR_3,,CON_HDR_254P-3N__Molex-KK,,,,,,,,,,,,,
54400,48800,power.sch,J905,connector3-1.sym,,,,CONNECTOR_3,,CON_HDR_254P-3N__Molex-KK,,,,,,,,,,,,,
55500,48800,power.sch,J906,connector3-1.sym,,,,CONNECTOR_3,,CON_HDR_254P-3N__Molex-KK,,,,,,,,,,,,,
40400,46700,power.sch,J907,connector2-1.sym,,,,CONNECTOR_2,,CON_HDR_254P-2N__Molex-KK,,,,,,,,,,,,,
45900,46400,power.sch,J908,jumper.sym,jumper,,,,,HDR_JMP-2N,,,,,,,,,,,,1,
43400,47600,ingenious_left_in.sch,L101,cm-choke-1.sym,RN102-0.3-02,,,INDUCTOR,,IND_Schaffner_RN102,,,,,,,,,,,,0.1,817-1523-ND
47100,47300,ingenious_left_in.sch,R101,resistor-1.sym,100,,,RESISTOR,,805,,,,,,,,,,,,,P100DACT-ND
45200,48500,ingenious_left_in.sch,R102,resistor-1.sym,100,,,RESISTOR,,805,,,,,,,,,,,,,P100DACT-ND
45200,46100,ingenious_left_in.sch,R103,resistor-1.sym,100,,,RESISTOR,,805,,,,,,,,,,,,,P100DACT-ND
45400,48700,usb-codec.sch,R501,resistor-1.sym,1k5,,,RESISTOR,,805,,,,,,,,,,,,,P1.5KDACT-ND
43300,47600,usb-codec.sch,R502,resistor-1.sym,22R,,,RESISTOR,,805,,,,,,,,,,,,,RR12Q22DCT-ND
47800,48800,usb-codec.sch,R503,resistor-1.sym,1M,,,RESISTOR,,805,,,,,,,,,,,,,P1MDACT-ND
44300,44600,usb-codec.sch,R504,resistor-1.sym,27k,,,RESISTOR,,805,,,,,,,,,,,,,P27KDACT-ND
43300,47300,usb-codec.sch,R505,resistor-1.sym,22R,,,RESISTOR,,805,,,,,,,,,,,,,RR12Q22DCT-ND
43300,47000,usb-codec.sch,R506,resistor-1.sym,22R,,,RESISTOR,,805,,,,,,,,,,,,,RR12Q22DCT-ND
44300,43600,usb-codec.sch,R507,resistor-1.sym,13k,,,RESISTOR,,805,,,,,,,,,,,,,P13KDACT-ND
46400,49700,headphone.sch,R601,resistor-1.sym,1k,,,RESISTOR,,805,,,,,,,,,,,,,P1.0KDACT-ND
45400,44100,headphone.sch,R602,pot-3_dual.sym,10k,,,VARIABLE_RESISTOR,,pot_panasonic_EVJ-series.fp,,,,2,,,,1,"2:4,5,6",,,,P2T3103-ND
45400,47900,headphone.sch,R602,pot-3_dual.sym,10k,,,VARIABLE_RESISTOR,,pot_panasonic_EVJ-series.fp,,,,2,,,,2,"2:4,5,6",,,,P2T3103-ND
48400,49700,headphone.sch,R603,resistor-1.sym,1k,,,RESISTOR,,805,,,,,,,,,,,,,P1.0KDACT-ND
47500,48200,headphone.sch,R604,resistor-1.sym,100k,,,RESISTOR,,805,,,,,,,,,,,,,P100KDACT-ND
46400,45900,headphone.sch,R605,resistor-1.sym,1k,,,RESISTOR,,805,,,,,,,,,,,,,P1.0KDACT-ND
50300,48500,headphone.sch,R607,resistor-1.sym,1k,,,RESISTOR,,805,,,,,,,,,,,,,P1.0KDACT-ND
48400,45900,headphone.sch,R608,resistor-1.sym,1k,,,RESISTOR,,805,,,,,,,,,,,,,P1.0KDACT-ND
47500,44400,headphone.sch,R609,resistor-1.sym,100k,,,RESISTOR,,805,,,,,,,,,,,,,P100KDACT-ND
50300,44700,headphone.sch,R610,resistor-1.sym,1k,,,RESISTOR,,805,,,,,,,,,,,,,P1.0KDACT-ND
51500,46600,ingenious_left_in.sch,U101,that1200-1.sym,THAT1200S,,,THAT120x,,SO8,,,,,,,,,,,,,
44100,46200,outsmarts_left.sch,U401,that1646.sym,,,,THAT1646,,SO8,,,,,,,,,,,,,
41800,44300,usb-codec.sch,U501,reg103-a.sym,,,,REG103-A,,SO8,,,,,,,,,,,,,REG103UA-A-ND
48100,48800,usb-codec.sch,U502,crystal-1.sym,,,,CRYSTAL,crystal_abracon_abls.pdf,CRYSTAL_Abracon_ABLS,,,,,,,,,,,,0.1,535-9067-1-ND
48200,44300,usb-codec.sch,U503,pcm2906b.sym,,,,PCM2906B,,SSOP28,,,,,,,,,,,,,296-24138-1-ND
47900,44400,headphone.sch,U601,opamp-dual-1.sym,OPA2134,,,DUAL_OPAMP,,SO8,,,,,,,,2,,,,0.2,296-22024-1-ND
47900,48200,headphone.sch,U601,opamp-dual-1.sym,OPA2134,,,DUAL_OPAMP,,SO8,,,,,,,,1,,,,0.2,296-22024-1-ND
42800,45800,power.sch,U901,CC3-xxxxDF-E.sym,,,,CC3-0512DF-E,,TDK-Lambda_CC3-F-E,,,,,,,,,,,,,445-2465-ND
